activation,activation_numerical,batch_size,delta_acc,dropout,early_stopping_patience,epochs,mean_train_score,mean_val_score,neurons_1,neurons_2,neurons_3,neurons_4,num_hidden_layers,optimizer,optimizer_numerical,reduce_lr_factor,reduce_lr_min_lr,reduce_lr_patience,std_train_score,std_val_score,weight_contraint
LeakyReLU,1,1024,0.0483473800747155,0.2,20,60,0.6939870119094849,0.6619819204012553,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0060002654399912,0.0095068038449652,10.0
LeakyReLU,1,1024,0.0401492468431326,0.2,20,60,0.6878036856651306,0.6612548033396403,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0085982487230892,0.0105337519507455,10.0
relu,0,64,0.0743660375458019,0.3,15,60,0.7145975430806478,0.6651341517766317,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0092121688002095,0.0115522808252589,10.0
relu,0,64,0.0562671385604045,0.3,15,60,0.696410596370697,0.6593129436175028,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0052272616086499,0.0048334093503781,10.0
relu,0,64,0.0519161381009502,0.3,20,60,0.6976243257522583,0.6631938616434733,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0115475431607438,0.0094046229438235,10.0
relu,0,64,0.0791179155273013,0.3,20,60,0.7143561641375223,0.6619815627733866,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0073145985427497,0.0085421874394929,10.0
relu,0,128,0.0399428511247908,0.3,15,60,0.6848936676979065,0.6585877935091654,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0021948821665158,0.0114084195259092,10.0
relu,0,128,0.0810170734505135,0.3,15,60,0.7182351549466451,0.6644068559010824,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0060827470792726,0.0101149306323669,10.0
relu,0,128,0.0788130530750511,0.3,20,60,0.7136307160059611,0.6614961822827657,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0193630228075951,0.0077347668177676,10.0
relu,0,128,0.0811371256329428,0.3,20,60,0.7156917055447897,0.6619805097579956,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.018027458394419,0.0056598267661788,10.0
relu,0,256,0.0762991703099137,0.3,15,60,0.7114455699920654,0.6610109806060791,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.009461881752666,0.0079391755671959,10.0
relu,0,256,0.0829046205073101,0.3,15,60,0.7173879543940226,0.6624664266904196,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0141819984188503,0.0081380663451455,10.0
relu,0,256,0.0793636966932985,0.3,20,60,0.7090216477711996,0.6568885445594788,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.009049431954978,0.00703778312978,10.0
relu,0,256,0.0597065298419393,0.3,20,60,0.6971383492151896,0.6578598221143087,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0092822345250356,0.0104555890769153,10.0
relu,0,512,0.0654011955909075,0.3,15,60,0.7011429071426392,0.6581022342046102,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0189962542844884,0.0106357586279365,10.0
relu,0,512,0.0435844371767783,0.3,15,60,0.6908344030380249,0.6619822780291239,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0023228998155976,0.0111043592648391,10.0
relu,0,512,0.0657369519873531,0.3,20,60,0.6977468132972717,0.6547082861264547,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0110151151508354,0.0126609748537039,10.0
