num_hidden_layers,units_1,units_2,units_3,units_4,dropout_rate,activation_function,batch_size,early_stopping_patience,reduce_lr_factor,reduce_lr_patience,reduce_lr_min_lr,optimizer,best_val_accuracy,val_accuracy_std,best_val_loss,val_loss_std,best_train_accuracy,train_accuracy_std,best_train_loss,train_loss_std,delta_acc
2,128,256,512,1024,0.2,relu,256,20,0.1,5,1e-07,adam,0.6619829734166464,0.012921050846647644,0.921297291914622,0.012503085559590886,0.726964553197225,0.01028678822676632,0.7311773498853048,0.029349782937713384,0.09816201079189958
2,128,256,512,1024,0.2,relu,256,20,0.1,5,1e-07,nadam,0.6622232993443807,0.007033956355650685,0.9196529587109884,0.0023706906225182496,0.7030812700589498,0.015513271825819661,0.7796124219894409,0.03799063898311255,0.06169817757094866
2,128,256,512,1024,0.2,relu,512,15,0.1,5,1e-07,adam,0.6614956657091776,0.0067346534748376095,0.9221144318580627,0.011611080985324465,0.7079316973686218,0.015505271336619976,0.7714707652727762,0.02692549224062297,0.07019854258555266
2,128,256,512,1024,0.2,relu,512,15,0.1,5,1e-07,nadam,0.6634373466173807,0.011351250896684123,0.9158832430839539,0.005518852152786274,0.7183574835459391,0.01458757518467883,0.7499689857165018,0.036449060135575785,0.08278119585606028
2,128,256,512,1024,0.2,relu,512,20,0.1,5,1e-07,adam,0.6627100706100464,0.011922139596361252,0.923446516195933,0.005986050357090178,0.7000502546628317,0.012136567630911487,0.7948930462201437,0.02559497551628906,0.05634467576207558
2,128,256,512,1024,0.2,relu,512,20,0.1,5,1e-07,nadam,0.6653767426808676,0.009701861926519645,0.916355311870575,0.01217388388292574,0.7102318008740743,0.01713569714327484,0.7675342559814453,0.04461585062112489,0.0674130238043509
2,128,256,512,1024,0.2,relu,1024,15,0.1,5,1e-07,adam,0.6595566272735596,0.00830860426215749,0.9191444317499796,0.006638273819622282,0.7023540536562601,0.012272700387717507,0.7909545103708903,0.033359363068609614,0.06488817580321239
2,128,256,512,1024,0.2,relu,1024,15,0.1,5,1e-07,nadam,0.662709911664327,0.011067908231579935,0.9208179712295532,0.010095365443131808,0.707444945971171,0.006820933393622069,0.7770606080691019,0.012771160894205725,0.06750319184829545
2,128,256,512,1024,0.2,relu,1024,20,0.1,5,1e-07,adam,0.6595557332038879,0.006433468962701667,0.9228607813517252,0.009118820608479449,0.6955637137095133,0.00852012550441397,0.8004881938298544,0.020999191337354006,0.054594295361077926
2,128,256,512,1024,0.2,relu,1024,20,0.1,5,1e-07,nadam,0.656645397345225,0.004042171359348852,0.9211599628130595,0.011824315633640581,0.7019893527030945,0.006949298641406072,0.7817782759666443,0.007017656758820028,0.06905394531232868
