mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dropout_rate,param_units_1,param_units_2,param_units_3,param_units_4,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27.125694227218627,4.5722717348757,1.8074307441711426,0.33257442922434716,0.3,128,256,1024,2048,"{'dropout_rate': 0.3, 'units_1': 128, 'units_2': 256, 'units_3': 1024, 'units_4': 2048}",0.8109243512153625,0.8130252361297607,0.8172268867492676,0.8046218752861023,0.7941176295280457,0.8079831957817077,0.008038293250049155,11
17.416283798217773,3.0225690942573564,1.924546718597412,0.31636533103268083,0.3,256,128,256,2048,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 128, 'units_3': 256, 'units_4': 2048}",0.7899159789085388,0.8025209903717041,0.8025209903717041,0.825630247592926,0.8172268867492676,0.8075630187988281,0.012506615995313254,12
13.029663848876954,2.0154170093710873,1.6668604373931886,0.1035297641214616,0.3,256,512,256,1024,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 512, 'units_3': 256, 'units_4': 1024}",0.819327712059021,0.7983193397521973,0.8025209903717041,0.8088235259056091,0.8046218752861023,0.8067226886749268,0.007155195178700451,13
15.736108112335206,3.154653469426852,1.6580043315887452,0.43188496401304655,0.3,128,512,512,512,"{'dropout_rate': 0.3, 'units_1': 128, 'units_2': 512, 'units_3': 512, 'units_4': 512}",0.8130252361297607,0.7668067216873169,0.8235294222831726,0.8130252361297607,0.8151260614395142,0.8063025355339051,0.020124258766406413,14
16.27057304382324,2.3175033385300745,1.9370473384857179,0.2156551672999687,0.3,256,512,256,2048,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 512, 'units_3': 256, 'units_4': 2048}",0.8130252361297607,0.7962185144424438,0.7899159789085388,0.8004201650619507,0.8298319578170776,0.8058823704719543,0.014161601072362162,15
28.0942684173584,1.9506057152176202,1.625126886367798,0.08053531248632037,0.3,256,128,1024,2048,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 128, 'units_3': 1024, 'units_4': 2048}",0.7983193397521973,0.7983193397521973,0.8088235259056091,0.8235294222831726,0.8004201650619507,0.8058823585510254,0.009636424525611977,16
19.676739120483397,1.3537934452970213,2.0497334480285643,0.36288082164373225,0.3,256,512,512,1024,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 512, 'units_3': 512, 'units_4': 1024}",0.8340336084365845,0.8088235259056091,0.8130252361297607,0.7731092572212219,0.7983193397521973,0.8054621934890747,0.019912592831473418,17
15.507528162002563,2.643394401280726,2.318628358840942,0.5603936934250956,0.3,256,512,512,512,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 512, 'units_3': 512, 'units_4': 512}",0.8298319578170776,0.8151260614395142,0.7773109078407288,0.8067227005958557,0.7983193397521973,0.8054621934890747,0.017506455257951983,17
19.532811641693115,2.529278828955696,1.9541415691375732,0.7742161059082268,0.3,256,256,1024,512,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 256, 'units_3': 1024, 'units_4': 512}",0.8109243512153625,0.7962185144424438,0.8067227005958557,0.7962185144424438,0.8130252361297607,0.8046218633651734,0.007155195178700452,19
15.869380998611451,3.9410329672262656,1.91982159614563,0.31119517661116897,0.3,256,512,256,512,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 512, 'units_3': 256, 'units_4': 512}",0.8067227005958557,0.8046218752861023,0.8046218752861023,0.7941176295280457,0.8130252361297607,0.8046218633651734,0.006088827791878712,19
13.45988507270813,0.8728766627052584,1.7353444576263428,0.27259794286855116,0.3,128,256,512,512,"{'dropout_rate': 0.3, 'units_1': 128, 'units_2': 256, 'units_3': 512, 'units_4': 512}",0.8067227005958557,0.7941176295280457,0.8172268867492676,0.8046218752861023,0.8004201650619507,0.8046218514442444,0.007632736451878549,21
19.588181829452516,0.5043327196987109,2.1201921463012696,0.37874649166857743,0.3,128,512,512,2048,"{'dropout_rate': 0.3, 'units_1': 128, 'units_2': 512, 'units_3': 512, 'units_4': 2048}",0.779411792755127,0.8067227005958557,0.7878151535987854,0.8151260614395142,0.831932783126831,0.8042016983032226,0.018856131588537543,22
12.609104871749878,0.9367800970652606,2.1146842002868653,0.6868898237823404,0.3,256,256,512,512,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 256, 'units_3': 512, 'units_4': 512}",0.8088235259056091,0.7983193397521973,0.7920168042182922,0.8109243512153625,0.8067227005958557,0.8033613443374634,0.007105682474860564,23
13.896427583694457,1.4242418884424701,1.9201099395751953,0.4574685905576018,0.3,64,512,256,512,"{'dropout_rate': 0.3, 'units_1': 64, 'units_2': 512, 'units_3': 256, 'units_4': 512}",0.8130252361297607,0.8130252361297607,0.8130252361297607,0.7731092572212219,0.8004201650619507,0.802521026134491,0.01549503824279134,24
14.709979724884032,1.9436343816597574,2.080774021148682,0.2724996722795635,0.3,256,256,256,2048,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 256, 'units_3': 256, 'units_4': 2048}",0.8088235259056091,0.7668067216873169,0.819327712059021,0.8025209903717041,0.8151260614395142,0.802521002292633,0.01874345033506636,25
29.18826594352722,3.8313047445351986,2.3124465942382812,0.3354234456314726,0.5,256,256,1024,2048,"{'dropout_rate': 0.5, 'units_1': 256, 'units_2': 256, 'units_3': 1024, 'units_4': 2048}",0.7962185144424438,0.779411792755127,0.8130252361297607,0.8067227005958557,0.8151260614395142,0.8021008610725403,0.013113009102099898,26
19.82730197906494,2.2608058586662563,2.6409236431121825,0.32565111401795105,0.3,256,512,512,2048,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 512, 'units_3': 512, 'units_4': 2048}",0.8235294222831726,0.7752100825309753,0.8130252361297607,0.8067227005958557,0.7899159789085388,0.8016806840896606,0.017149864063398863,27
14.7632652759552,1.2430606921794998,1.7023541450500488,0.325946774023209,0.3,256,128,256,512,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 128, 'units_3': 256, 'units_4': 512}",0.8004201650619507,0.7731092572212219,0.8214285969734192,0.8067227005958557,0.8046218752861023,0.80126051902771,0.015754905569305245,28
13.995745277404785,2.9549417486608736,1.7755741596221923,0.5730463312853501,0.3,256,256,256,512,"{'dropout_rate': 0.3, 'units_1': 256, 'units_2': 256, 'units_3': 256, 'units_4': 512}",0.8004201650619507,0.8130252361297607,0.8109243512153625,0.7899159789085388,0.7920168042182922,0.801260507106781,0.009451447188899542,29
