Unnamed: 0,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments,Stream,Genre
3833,0.327,0.22,9.0,-14.997,0.0345,0.794,1.75e-05,0.587,0.333,200.263,254533.0,2879001.0,23934.0,1682.0,14234746.0,pop
3834,0.597,0.271,5.0,-17.293,0.0394,0.766,0.0119,0.0933,0.338,76.271,203613.0,514017.0,7315.0,80.0,267150535.0,rock
3835,0.689,0.2,9.0,-18.634,0.0309,0.795,0.0327,0.0893,0.478,91.787,268867.0,180704.0,2611.0,4.0,149559315.0,pop
3836,0.579,0.267,4.0,-15.11,0.0348,0.118,0.000562,0.132,0.353,74.899,238573.0,1774157.0,14808.0,879.0,113315832.0,pop
3837,0.764,0.628,0.0,-10.961,0.048,0.336,0.0,0.0977,0.823,109.008,216387.0,86413.0,1012.0,2.0,85488999.0,pop
3838,0.683,0.515,1.0,-10.932,0.0592,0.137,6.66e-06,0.0816,0.767,88.827,165400.0,1676680.0,19793.0,1091.0,60095233.0,rock
3839,0.78,0.533,11.0,-12.035,0.0291,0.326,2.15e-05,0.0944,0.778,116.153,178693.0,207761.0,2295.0,6.0,63602994.0,pop
3840,0.539,0.114,2.0,-20.575,0.0346,0.882,0.00902,0.106,0.608,141.378,173733.0,267871.0,2880.0,8.0,51641852.0,rock
3841,0.804,0.233,2.0,-14.17,0.0312,0.64,0.106,0.0854,0.583,90.639,196800.0,15953287.0,86016.0,2445.0,23383686.0,rock
3842,0.447,0.186,0.0,-17.369,0.0322,0.283,0.0,0.158,0.564,150.799,189480.0,404157.0,5941.0,249.0,31811854.0,pop
3843,0.502,0.413,4.0,-7.373,0.039,0.872,0.0,0.213,0.474,175.507,217560.0,109257.0,2182.0,78.0,53083398.0,pop
3844,0.652,0.917,6.0,-6.72,0.0548,0.0082,0.0,0.0509,0.459,132.975,239027.0,280197941.0,1720941.0,47509.0,442534295.0,pop
3845,0.658,0.575,11.0,-10.365,0.0267,0.243,0.0,0.122,0.504,108.329,239827.0,27134098.0,140121.0,5229.0,232803655.0,pop
3847,0.593,0.923,0.0,-6.19,0.101,0.0495,0.0,0.29,0.587,124.862,224000.0,9745313.0,71533.0,1670.0,98357745.0,pop
3848,0.517,0.335,4.0,-13.104,0.0324,0.561,0.0,0.0876,0.163,138.096,244360.0,6970146.0,58999.0,2789.0,63031732.0,pop
3849,0.696,0.679,2.0,-7.363,0.0305,0.587,0.0,0.165,0.527,128.982,235493.0,3662920.0,23906.0,1133.0,81237570.0,pop
3850,0.4,0.563,8.0,-10.233,0.0307,0.17,0.0,0.133,0.442,138.006,245733.0,12343337.0,63321.0,1457.0,38465111.0,pop
3852,0.476,0.677,0.0,-11.175,0.0365,0.211,0.0,0.0601,0.691,170.879,158000.0,20901237.0,110623.0,6439.0,34587318.0,rock
3853,0.538,0.604,2.0,-10.936,0.0262,0.557,0.0,0.162,0.373,102.839,223160.0,2240898.0,23587.0,836.0,23592158.0,pop
3884,0.585,0.793,7.0,-3.713,0.0322,0.351,0.0,0.3,0.732,133.839,208413.0,44175339.0,184408.0,5288.0,167412185.0,country
3885,0.68,0.87,5.0,-4.461,0.0393,0.266,0.0,0.109,0.646,119.075,227840.0,126505822.0,481659.0,12736.0,138995973.0,country
3886,0.717,0.85,10.0,-5.329,0.0473,0.368,0.0,0.0495,0.805,119.005,204000.0,25426478.0,139127.0,5284.0,139479915.0,country
3887,0.424,0.661,2.0,-5.547,0.0425,0.521,1.62e-06,0.0719,0.384,111.762,195533.0,61066253.0,378966.0,45970.0,144785841.0,country
3888,0.648,0.667,0.0,-8.986,0.0311,0.0534,6.94e-06,0.0908,0.669,109.609,209067.0,63447655.0,259074.0,9105.0,80167028.0,country
3889,0.535,0.56,4.0,-6.586,0.0901,0.287,0.0,0.209,0.785,164.17,223387.0,66063799.0,308662.0,18554.0,107742260.0,country
3890,0.608,0.825,2.0,-6.303,0.0419,0.024,0.00656,0.346,0.454,115.049,335333.0,98191184.0,313351.0,7599.0,96795656.0,country
3891,0.765,0.87,5.0,-5.191,0.0499,0.168,0.0,0.125,0.684,106.06,183960.0,23008581.0,113205.0,4417.0,54061296.0,country
3892,0.497,0.701,9.0,-5.996,0.0306,0.0507,0.0,0.103,0.376,172.126,193133.0,22598190.0,104060.0,11175.0,69031598.0,country
3893,0.72,0.918,9.0,-3.225,0.0408,0.229,0.0,0.159,0.955,125.091,169400.0,2979870.0,16790.0,390.0,24439297.0,country
3894,0.0769,0.0846,2.0,-25.997,0.045,0.922,0.929,0.113,0.0586,176.329,363253.0,2234909.0,7101.0,506.0,37292776.0,classic
3895,0.233,0.0252,2.0,-24.824,0.0346,0.975,0.601,0.143,0.0936,94.736,707173.0,0.0,0.0,0.0,33192910.0,classic
3896,0.249,0.163,4.0,-15.638,0.0351,0.901,0.741,0.124,0.112,136.037,685000.0,6898121.0,96713.0,3758.0,8003013.0,classic
3897,0.125,0.0734,0.0,-21.889,0.0351,0.553,0.875,0.176,0.0347,96.982,710000.0,86553.0,1664.0,7.0,11983943.0,classic
3898,0.3,0.297,7.0,-14.937,0.037,0.924,0.925,0.314,0.279,139.855,456000.0,1754.0,55.0,6.0,4409738.0,classic
3899,0.228,0.161,10.0,-17.008,0.0363,0.952,0.888,0.124,0.0954,71.06,936000.0,243462.0,2827.0,11.0,2957606.0,classic
3900,0.115,0.301,0.0,-13.321,0.0449,0.637,0.935,0.154,0.0409,77.276,109667.0,3443338.0,28070.0,673.0,11097268.0,classic
3901,0.397,0.167,7.0,-20.965,0.0555,0.966,0.818,0.0884,0.254,118.824,626000.0,282412.0,3630.0,8.0,2609450.0,classic
3902,0.0864,0.00922,5.0,-32.924,0.0396,0.943,0.531,0.106,0.0301,85.284,517000.0,30743.0,478.0,4.0,3818564.0,classic
3903,0.141,0.0262,4.0,-21.686,0.0392,0.963,0.903,0.234,0.0354,141.29,253440.0,939071.0,11309.0,20.0,6719639.0,classic
3914,0.724,0.276,7.0,-12.25,0.0599,0.76,0.0,0.116,0.718,112.874,155933.0,2859862.0,18811.0,232.0,295215685.0,pop
3915,0.478,0.341,5.0,-12.556,0.0511,0.897,0.0,0.258,0.474,143.736,175893.0,2155877.0,13919.0,521.0,77965317.0,pop
3916,0.571,0.166,8.0,-16.883,0.0471,0.978,0.0,0.253,0.707,93.914,94733.0,401661.0,1648.0,67.0,71187193.0,pop
3917,0.504,0.253,10.0,-16.01,0.0379,0.799,0.00021,0.0633,0.837,184.299,166600.0,297072.0,1988.0,202.0,8367582.0,pop
3918,0.674,0.498,0.0,-10.07,0.13,0.512,2.05e-06,0.404,0.747,81.075,162107.0,5885200.0,64079.0,2169.0,36412844.0,pop
3919,0.719,0.257,0.0,-14.446,0.0435,0.88,2.61e-06,0.257,0.75,103.829,159907.0,3085950.0,64781.0,1558.0,35213979.0,pop
3921,0.715,0.212,7.0,-12.799,0.0813,0.937,0.0,0.118,0.695,156.329,160947.0,2920.0,71.0,8.0,4525286.0,pop
3922,0.154,0.138,0.0,-13.236,0.0338,0.931,1e-06,0.0988,0.0799,83.624,220133.0,607958.0,2384.0,20.0,7967376.0,pop
3923,0.143,0.134,5.0,-17.292,0.0324,0.952,0.00144,0.208,0.107,85.992,290760.0,287208.0,797.0,23.0,49411732.0,pop
3934,0.814,0.481,0.0,-5.183,0.245,0.097,3.83e-05,0.0495,0.193,96.252,161400.0,37420971.0,354650.0,11047.0,128068048.0,hip hop
3935,0.934,0.459,1.0,-7.654,0.189,0.0516,0.0,0.222,0.697,103.04,239547.0,13149212.0,163343.0,4070.0,132770951.0,hip hop
3936,0.704,0.701,2.0,-8.031,0.46,0.549,0.0,0.664,0.618,92.032,217507.0,10581798.0,132797.0,6062.0,38333323.0,hip hop
3937,0.769,0.364,7.0,-14.337,0.415,0.158,0.0131,0.404,0.241,96.261,181627.0,250808.0,3312.0,144.0,10578059.0,hip hop
3938,0.895,0.57,6.0,-6.321,0.122,0.0578,0.0,0.05,0.766,88.22,257067.0,772965.0,19450.0,911.0,7894325.0,hip hop
3939,0.819,0.797,0.0,-5.03,0.257,0.172,0.0,0.189,0.793,96.993,170720.0,29063.0,317.0,6.0,1440291.0,hip hop
3940,0.856,0.389,7.0,-7.633,0.282,0.131,0.000242,0.305,0.255,96.18,206427.0,371564.0,4651.0,266.0,3952819.0,hip hop
