mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation_function,param_dropout_rate,param_units_1,param_units_2,param_units_3,param_units_4,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
13.67849850654602,0.6127042207483319,2.1083423296610517,0.1590230936412051,relu,0.3,256,512,256,512,"{'activation_function': 'relu', 'dropout_rate': 0.3, 'units_1': 256, 'units_2': 512, 'units_3': 256, 'units_4': 512}",0.8186398148536682,0.7982345819473267,0.8032786846160889,0.8067176938056946,0.0086780746960431,21
19.454367717107136,1.6648046824282492,2.4073057174682617,0.4399616861501678,relu,0.3,128,256,1024,1024,"{'activation_function': 'relu', 'dropout_rate': 0.3, 'units_1': 128, 'units_2': 256, 'units_3': 1024, 'units_4': 1024}",0.8161209225654602,0.80580073595047,0.7969735264778137,0.8062983949979147,0.007824808522894,23
13.393667856852211,1.9720403685836576,1.836936394373576,0.1426900498208594,LeakyReLU,0.3,128,128,256,1024,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 128, 'units_2': 128, 'units_3': 256, 'units_4': 1024}",0.8098236918449402,0.7969735264778137,0.810844898223877,0.8058807055155436,0.0063121097595403,24
21.04012902577718,1.1239393676839742,2.375994205474853,0.3399033899017833,LeakyReLU,0.3,256,128,1024,1024,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 256, 'units_2': 128, 'units_3': 1024, 'units_4': 1024}",0.8161209225654602,0.8158890008926392,0.7856242060661316,0.8058780431747437,0.0143219385357388,25
13.916440963745115,1.271488567915328,2.1573108037312827,0.5427262764383237,relu,0.3,256,256,256,1024,"{'activation_function': 'relu', 'dropout_rate': 0.3, 'units_1': 256, 'units_2': 256, 'units_3': 256, 'units_4': 1024}",0.8010075688362122,0.8083228468894958,0.8070617914199829,0.8054640690485636,0.0031929986774518,26
13.687952438990274,1.3260482978212405,2.569471438725789,0.3565961118039342,LeakyReLU,0.3,128,256,512,512,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 128, 'units_2': 256, 'units_3': 512, 'units_4': 512}",0.7997481226921082,0.8045397400856018,0.810844898223877,0.8050442536671957,0.0045442643164121,27
11.156459728876747,1.2173081883772854,2.1272733211517334,0.2439026715441837,LeakyReLU,0.5,256,256,256,1024,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.5, 'units_1': 256, 'units_2': 256, 'units_3': 256, 'units_4': 1024}",0.8198992609977722,0.8121059536933899,0.7831021547317505,0.8050357898076376,0.0158323965424646,28
14.676684697469076,1.249405008490149,1.7162199020385742,0.454320883932627,LeakyReLU,0.3,256,512,256,512,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 256, 'units_2': 512, 'units_3': 256, 'units_4': 512}",0.8047859072685242,0.8196721076965332,0.7881462574005127,0.8042014241218567,0.0128770085716967,29
14.444004535675049,1.030281486273123,2.0317668120066323,0.3896513182979607,LeakyReLU,0.3,128,512,256,1024,"{'activation_function': 'LeakyReLU', 'dropout_rate': 0.3, 'units_1': 128, 'units_2': 512, 'units_3': 256, 'units_4': 1024}",0.8085642457008362,0.7969735264778137,0.8070617914199829,0.8041998545328776,0.0051464683739477,30
15.120073239008583,1.2071594168181885,1.8570042451222737,0.2065272698275193,relu,0.3,256,256,256,512,"{'activation_function': 'relu', 'dropout_rate': 0.3, 'units_1': 256, 'units_2': 256, 'units_3': 256, 'units_4': 512}",0.7997481226921082,0.8083228468894958,0.8032786846160889,0.8037832180658976,0.0035187487612121,31
